marque_onduleur;modele_onduleur
AXUN;(voir marque Diehl)
REFU;010K
REFU;017K
REFU;020K
soladin;1000
REFU;11k Tri
Growatt;1500TL
Samil Power;1500TL
WKS;1KVA 48V
Sunways;2.01
Growatt;2000TL
Solwex;20270 E
WKS;2KVA 24V
IMEON;3.6
Growatt;3000TL
SoFar Solar;3000TL - G3
WKS;3KVA 24V
WKS;3KVA 48V
Growatt;4400TL
Growatt;5000TL
Courtois;5500W
WKS;5KVA
Grid Tie Inverter;600
ACE;ACE 1001
ACE;ACE 2501
ACE;ACE 3001
Ainelec;Ainel K3
Alpha;Alpha Solaris 3500
Riello;Aros EVO 3000
Sunways;AT 2700
Sunways;AT 4500
Sunways;AT 5000
Sunways;AT3000
Aunilec;Auni 1500
Aunilec;Auni 3000
Aunilec;AUNI2000
Aunilec;AUNI4000
Power-One;Aurora PVI-10.0
Power-One;Aurora PVI-12.5
Power-One;Aurora PVI-2,5
Power-One;Aurora PVI-2000
Power-One;Aurora PVI-2000-OUTD
Power-One;Aurora PVI-3,8
Power-One;Aurora PVI-3.0
Power-One;Aurora PVI-3.0-OUTD
Power-One;Aurora PVI-3.1
Power-One;Aurora PVI-3.6
Power-One;Aurora PVI-3.6-OUTD
Power-One;Aurora PVI-3000-I-OUTD-US
Power-One;Aurora PVI-3600
Power-One;Aurora PVI-3600-OUTD
Power-One;Aurora PVI-4.2
Power-One;Aurora PVI-4.2-OUTD
Power-One;Aurora PVI-4.6
Power-One;Aurora PVI-5000-OUTD
Power-One;Aurora PVI-6000-OUTD
Power-One;Aurora PVI-8.0-TL
Voltronic Power;Axpert MKS 5K
CLIPSOL;BDM-250
BEON ENERGY;BeON eco
KACO;Blue Planet 1501 xi
KACO;Blue Planet 2501 xi
KACO;Blue Planet 2502 xi
KACO;blueplanet 9.0 TL3 M2
BP Solar / Trace;BP-12
BP Solar / Trace;BP-18
Bahrmann;BVR 5000
Connect Energy;CE 4000
Solarmax;Choisir la marque SPUTNIK
ATERSA;CICLQ-3000
ATERSA;CICLQ-6000
Schneider electric;Conext RL 3000 E
Schneider electric;Conext RL 3000 E-S
Schneider electric;Conext RL 4000 E
Schneider electric;Conext RL 5000 E
Schneider electric;Conext RL 5000 E-S
Schneider electric;Conext TL10000
Schneider electric;Conext TL8000
Tenesol;Connectis EI 1900
Tenesol;Connectis EI 2200
Tenesol;Connectis EI 2500
Tenesol;Connectis EI 3300
Tenesol;Connectis EI 5000
Tenesol;Connectis TE 2000
Solar-Fabrik;Convert 10T
Solar-Fabrik;Convert 2000
Solar-Fabrik;Convert 3T / 3000
Solar-Fabrik;Convert 4T
Solar-Fabrik;Convert 6T
DURALUX;DS 2800 TL
APS - APSystems;DS3
APS - APSystems;DS3-L
Invertomatic;ECOPOWER  60
Victron;ECOVERTER 1000
Tenesol;Energrid 1900
Tenesol;Energrid EG 2500
Tenesol;ENERGRID INVERTER 1900,
Tenesol;ENERGRID INVERTER 2200
Tenesol;ENERGRID INVERTER 2500
Tenesol;ENERGRID INVERTER 3300
Energetica;ENP 10
EFFEKTA;ES1000
EnerSolis;ES2200
EFFEKTA;ES2200
EFFEKTA;es3300
EFFEKTA;ES4200
EFFEKTA;ES5000
EVERSOL;Eversolar TLC17K
Philips;EVO 1500 - Master
Philips;EVO 300
Envertech;EVT560
Envertech;EVT720
FAGOR;FSI - 2.5
Delta Energy;Gridfit 1900
Tenesol;Gridfit 1900
Total Energie;GridFit 1900
Total Energie;GridFit 2200
Tenesol;Gridfit 2200
Total Energie;GridFit 2500
Tenesol;Gridfit 2500
Exendis;Gridfit 2500
Tenesol;Gridfit 3300
Xantrex;GT 100E
Opti-Solar;GT 1500
Opti-Solar;GT 3000
Xantrex;GT 500E
I-Energy;GT-260 
Outback Power System;GVFX 3648
Goodwe;GW6000D-NS
DELTA Electronics;H3A_220
Riello;Helios Power HP 1500
Riello;Helios Power HP 2000
Riello;Helios Power HP 2800
Hoymiles;HM 1500
Hoymiles;HM 800
SUNSYS;HOME 2254
SUNSYS;HOME 3954
AERO SHARP;HR-X01-028
AERO SHARP;HR-X01-030
Huayu New Energy Technologies;HY-600-Plus
Huayu New Energy Technologies;HY-800-Plus
SoFar Solar;HYD 5000-ES - SOFAR
IBC Solar AG;IBC ServeMaster 10000TL
ibc solar;IBC ServeMaster 2750HV
IBC Solar AG;IBC ServeMaster 3300
Fronius;IG 15
Fronius;IG 20
Fronius;IG 2000
Fronius;IG 2500
Fronius;IG 30
Fronius;IG 30 TL
Fronius;IG 300
Fronius;IG 3000
Fronius;IG 40
Fronius;IG 40 4100W
Fronius;IG 4000
Fronius;IG 60
Fronius;IG 60 HV
Fronius;IG Plus 100
Fronius;IG Plus 12
Fronius;IG Plus 120
Fronius;IG Plus 150
Fronius;IG Plus 35
Fronius;IG Plus 4
Fronius;IG Plus 50
Fronius;IG Plus 60
Fronius;IG Plus 70
Fronius;IG Plus 8
Fronius;IG Plus V3.0.1
Fronius;IG TL 3.0
Fronius;IG TL 4.0
Fronius;IG TL 5.0  
Imeon Energy;Imeon 3.6
IMEON;IMEON hybride 9/12kW
Ingeteam;Ingecon Sun 10
Ingeteam;Ingecon Sun 2.5 TL
Ingeteam;Ingecon Sun 20
Ingeteam;Ingecon Sun 25
Ingeteam;Ingecon Sun 3.3
Ingeteam;Ingecon Sun 3.3 TL
Ingeteam;Ingecon Sun 5 TL
Ingeteam;Ingecon Sun 60
Ingeteam;ingecon Sun Lite  3TL
Aeconversion;INV 315-50
Aeconversion;INV 350-90
CONERGY;IPG 100K
CONERGY;IPG 11 T
CONERGY;IPG 110K
CONERGY;IPG 280K
CONERGY;IPG 3 S DCD
CONERGY;IPG 5 S DCD
CONERGY;IPG 60K
CONERGY;IPG2000
CONERGY;IPG3000
Enphase Energy;IQ 7
Enphase Energy;IQ 7+
Enphase Energy;IQ 7A
Enphase Energy;IQ 7X
Eaton Corporation;ISG1I-1500/1
Eaton Corporation;ISG1I-2000/1
Eaton Corporation;ISG1I-2800/1
Eaton Corporation;ISG1I-4000/1
Eaton Corporation;ISG1L 3300/1
Eaton Corporation;ISG3O-4600/1
Carlo Gavazzi;ISMG145
SHARP;JH 100 KAI
Kyocera;KC 1.8 i
Kyocera;KC 3.6 i
KaiDeng Energy;KD-GTI500W
Omron;KP 40F
EFFEKTA;KS3000ST
EFFEKTA;KS-5000DT
Sunways;M X R 3600 E
Enphase Energy;M210-84-208
Enphase Energy;M210-84-240
Enphase Energy;M215-60-230-S22
Enphase Energy;M215-60-2LL
Enphase Energy;M250
Involar;MAC250
Hoymiles;MI 1200
Hoymiles;MI 250
Hoymiles;MI 500
Hoymiles;MI 600
HOYMILES;MI-350
Growatt;MIN 3000TL-Xe
Omnik;mini 1kWc TL2-M
Solax;Mini X1 1.5 1500 WATTS
Solax;Mini X1 2.0
Solax;Mini X1-100
Bourgeoisglobal;MOBg-500-600-EU
ibc solar;Monosol 225 ET
MPP SOLAR;MPI 1500
MPP SOLAR;MPI 3000
Victron;MULTIPLUS 5000 48V
Outback Power System;MX60
Solon AG;NEG 1600+
UFE;NEG 4
Sunways;NT 2600
Sunways;NT 3000
Sunways;NT 4000
Sunways;NT 5000
Sunways;NT 6000
Omnik;Omniksol-3k-TL
Omnik;Omniksol-4k-TL
Omnik;Omniksol-5k-TL
SunPower;P19 / 325W
INFOSEC;P2 Sunrise 2000
INFOSEC;P2 Sunrise 3000
SolarEdge;P330
Oelmaier;PAC 1-2
Oelmaier;PAC 1-4
Pas_dans_la_liste_onduleur;Pas_dans_la_liste_onduleur
Kostal;Pico 2.0 MP
Kostal;Pico 3.0 MP
Kostal;Pico 3.6 MP
Kostal;Pico 4.2 MP
Kostal;PIKO 10.1
Kostal;Piko 3.0
Kostal;Piko 3.6
Kostal;Piko 4.2
Kostal;Piko 5.5
Kostal;Piko 6000
Kostal;Piko 7.0
Kostal;Piko 8.3
MPP SOLAR;PIP 4048 MS
Diehl AKO;Platinum 2100S
Diehl AKO;Platinum 22000 TL
Diehl AKO;Platinum 2800S
Diehl AKO;Platinum 3100S
Diehl AKO;Platinum 3800S
Diehl AKO;Platinum 4300S
Diehl AKO;Platinum 4300TL
Diehl AKO;Platinum 4301S
Diehl AKO;Platinum 4600S
Diehl AKO;Platinum 4601S
Diehl AKO;Platinum 4800TL
Diehl AKO;Platinum 5500 R3
Diehl AKO;Platinum 6300TL
Diehl AKO;Platinum 7200TL
KACO;Powador 10.0 TL3
KACO;Powador 12.0 TL3
KACO;Powador 14.0 TL3
KACO;Powador 1501 xi
